blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,0.45454545454545453,0.35416666666666663,-0.2,0,0.49797570850202433,-1,0,-1
1,0.45454545454545453,0.49999999999999994,0.0,0,0.6113360323886641,0,0,-1
1,0.6060606060606061,0.5416666666666666,0.0,0,0.5060728744939271,1,1,1
1,0.5757575757575757,0.5208333333333333,0.4,0,0.6396761133603239,-1,0,1
0,0.5151515151515151,0.5416666666666666,-0.2,0,0.562753036437247,1,0,-1
0,0.3333333333333333,0.37499999999999994,-0.4,0,0.5789473684210527,-1,1,-1
0,0.45454545454545453,0.5416666666666666,-0.6,0,0.3360323886639677,1,0,1
1,0.6363636363636364,0.6458333333333333,0.4,0,0.4008097165991903,1,0,1
1,0.5757575757575757,0.5416666666666666,0.2,0,0.38461538461538464,1,1,1
0,0.6060606060606061,0.6249999999999999,0.6,1,0.7044534412955465,-1,0,-1
0,0.36363636363636365,0.43749999999999994,-0.2,0,0.3765182186234818,-1,0,-1
0,0.48484848484848486,0.41666666666666663,0.2,0,0.4898785425101215,-1,0,-1
1,0.5757575757575757,0.49999999999999994,0.0,0,0.4736842105263158,1,-1,1
1,0.7575757575757576,0.7083333333333333,0.8,0,0.4696356275303644,1,1,1
0,0.3333333333333333,0.45833333333333326,-0.8,0,0.4008097165991903,1,0,-1
0,0.3333333333333333,0.43749999999999994,-0.8,-1,0.2753036437246964,0,-1,-1
0,0.48484848484848486,0.5416666666666666,-0.2,0,0.417004048582996,0,0,-1
0,0.48484848484848486,0.5833333333333333,-0.2,0,0.5344129554655871,1,-1,1
1,0.45454545454545453,0.45833333333333326,0.2,0,0.4817813765182187,-1,0,-1
0,0.48484848484848486,0.49999999999999994,-0.2,0,0.31174089068825916,-1,0,1
0,0.5454545454545454,0.43749999999999994,0.0,-1,0.49797570850202433,-1,1,1
1,0.5454545454545454,0.5833333333333333,0.2,0,0.5425101214574899,-1,0,1
0,0.696969696969697,0.7083333333333333,0.4,0,0.5829959514170041,-1,0,1
0,0.36363636363636365,0.39583333333333326,-0.2,0,0.5344129554655871,1,0,1
1,0.5757575757575757,0.5416666666666666,0.2,0,0.6356275303643725,1,-1,1
1,0.5757575757575757,0.5208333333333333,0.2,0,0.6113360323886641,1,1,1
0,0.45454545454545453,0.43749999999999994,-0.2,0,0.46558704453441296,-1,-1,-1
1,0.6363636363636364,0.5624999999999999,0.2,0,0.6153846153846154,0,1,1
1,0.6363636363636364,0.7916666666666665,0.4,0,0.5506072874493928,1,0,-1
